,code,lat,lon,name,city,state,country,woeid,tz,phone,type,email,url,runway_length,elev,icao,direct_flights,carriers
943,FRC,-20.5897,-47.3819,Franca Airport,Franca,Sao Paulo,Brazil,12511149,America/Sao_Paulo,0,Airports,BLANK,BLANK,4921.0,3271.0,BLANK,1,1
944,FRD,48.5252,-123.027,Friday Harbor Airport,Friday Harbor,Washington,United States,12519828,America/Los_Angeles,0,Airports,BLANK,BLANK,3400.0,120.0,KFHR,5,1
945,FRE,-8.1,159.583,Fera Island,Fera Island,Isabel,Solomon Islands,1020491,Pacific/Guadalcanal,0,Airports,BLANK,BLANK,2231.0,8.0,BLANK,1,1
946,FRL,44.1953,12.0686,Forli Airport,Forli,Emilia Romagna,Italy,12513820,Europe/Rome,0,Airports,BLANK,BLANK,7907.0,98.0,LIPK,15,3
947,FRO,61.5863,5.02484,Flora Airport,Floro,Sogn og Fjordane Fylke,Norway,12523929,Europe/Oslo,0,Airports,BLANK,BLANK,2690.0,31.0,ENFL,2,1
948,FRS,16.9139,-89.8664,Santa Elena Airport,Flores,Peten,Guatemala,12513341,America/Guatemala,0,Airports,BLANK,BLANK,10000.0,420.0,MGTK,4,2
949,FRU,43.0603,74.4866,Vasilyevka Airport,Bishkek,Chuy,Kyrgyzstan,12514125,Asia/Bishkek,+996 312 693109,Airports,BLANK,http://www.airport.kg/,,,UAFM,14,17
950,FRW,-21.16,27.4825,Francistown Airport,Francistown,North-East,Botswana,12510835,Africa/Gaborone,0,Airports,BLANK,BLANK,7088.0,3281.0,BLANK,1,1
951,FSC,41.5022,9.0968,Sud Corse Airport,Figari,Corsica,France,12512979,Europe/Paris,0,Airports,BLANK,BLANK,8136.0,85.0,LFKF,9,3
952,FSD,43.5813,-96.7317,Sioux Falls Regional Airport,Sioux Falls,South Dakota,United States,12520371,America/Chicago,0,Airports,BLANK,BLANK,8999.0,1429.0,KFSD,9,11
953,FSM,36.1881,-94.4944,Smith Field Airport,Fort Smith,Arkansas,United States,12521888,America/Chicago,0,Airports,BLANK,BLANK,8000.0,469.0,KFSM,3,5
954,FSP,46.7708,-56.1667,St Pierre Airport,St Pierre,Miquelon-Langlade,Saint Pierre and Miquelon,12517380,America/Miquelon,0,Airports,BLANK,BLANK,4100.0,23.0,LFVP,4,1
955,FTA,-19.5267,170.215,Futuna,Futuna Island,Tafea,Vanuatu,12497035,Pacific/Efate,0,Airports,BLANK,BLANK,,,BLANK,2,1
956,FTE,-50.3333,-72.25,El Calafate International Airport,El Calafate,Santa Cruz,Argentina,24554862,America/Buenos_Aires,0,Airports,BLANK,BLANK,,,BLANK,5,2
957,FTU,-25.0381,46.9556,Tolagnaro Airport,Faradofay,Toliara,Madagascar,12514709,Indian/Antananarivo,0,Airports,BLANK,BLANK,4921.0,26.0,BLANK,4,2
958,FUE,28.3997,-13.9998,Puerto del Rosario Airport,Antigua,Canary Islands,Spain,12517563,Atlantic/Canary,0,Airports,BLANK,BLANK,7874.0,75.0,GCFV,45,27
959,FUG,37.8882,-82.9323,BLANK,Fuyang,Zhejiang,China,2132597,Asia/Shanghai,0,Airports,BLANK,BLANK,,,BLANK,1,1
960,FUJ,32.6726,128.836,Fukue Airport,Goto-shi,Nagasaki Prefecture,Japan,12513949,Asia/Tokyo,0,Airports,BLANK,BLANK,5250.0,273.0,BLANK,1,1
961,FUK,33.5971,130.443,Fukuoka Airport,Fukuoka-shi,Fukuoka Prefecture,Japan,23388316,Asia/Tokyo,0,Airports,BLANK,BLANK,9250.0,30.0,RJFF,36,31
962,FUN,-8.52982,179.189,Funafuti International Airport,Funafuti,Funafuti,Tuvalu,12517924,Pacific/Funafuti,0,Airports,BLANK,BLANK,5000.0,9.0,NGFU,1,2
963,FUT,-14.25,-178.15,Futuna Island,Futuna Island,Hahake,Wallis and Futuna Islands,22503940,Pacific/Wallis,0,Airports,BLANK,BLANK,3051.0,20.0,BLANK,1,1
964,FWA,40.9883,-85.1899,Fort Wayne Municipal Airport-Baer Field,Fort Wayne,Indiana,United States,12519784,America/New_York,0,Airports,BLANK,BLANK,9000.0,802.0,KFWA,27,16
965,FWM,56.8179,-5.1039,Fort William Heliport,Fort William,Scotland,United Kingdom,12523986,Europe/London,0,Heliport2,BLANK,BLANK,,,BLANK,1,1
966,FYU,66.5714,-145.25,Fort Yukon Airport,Fort Yukon,Alaska,United States,12519788,America/Anchorage,0,Airports,BLANK,BLANK,5809.0,433.0,PFYU,5,5
967,FZO,51.5194,-2.5761,Filton Airport,Bristol,England,United Kingdom,12518089,Europe/London,0,Airports,BLANK,BLANK,,,BLANK,2,1
968,GAE,33.8792,10.1028,Gabes Airport,Gabes,Qabis,Tunisia,12517858,Africa/Tunis,0,Airports,BLANK,BLANK,3937.0,26.0,BLANK,2,1
969,GAF,34.4222,8.81944,Gafsa,Gafsa,Qafash,Tunisia,12517859,Africa/Tunis,0,Airports,BLANK,BLANK,5413.0,1033.0,KGAF,3,1
970,GAJ,38.4109,140.37,Yamagata Airport,Higashine-shi,Yamagata Prefecture,Japan,12514035,Asia/Tokyo,0,Airports,BLANK,BLANK,6560.0,353.0,BLANK,4,1
971,GAL,64.7404,-156.931,Galena Airport,Galena,Alaska,United States,12519851,America/Anchorage,0,Airports,BLANK,BLANK,7254.0,152.0,PAGA,9,5
972,GAM,63.7667,-171.738,Gambell Airport,Gambell,Alaska,United States,12519858,America/Anchorage,0,Airports,BLANK,BLANK,4500.0,28.0,PAGM,2,3
973,GAN,-0.6912,73.16,Gan Island Airport,Hithadhoo,Seenu,Maldives,12514815,Indian/Maldives,(+960) 313309,Airports,BLANK,http://www.airports.com.mv/domestic/gan.htm,2652.0,1.0,VRMG,2,1
974,GAO,20.143,-75.209,Cuba,Guantanamo,Guantanamo,Cuba,23424793,America/Havana,0,Airports,BLANK,BLANK,8053.0,20.0,KGAO,1,1
975,GAU,26.0857,91.5669,Borjhar,Gawahati,Assam,India,12513585,Asia/Kolkata,0,Airports,BLANK,BLANK,9000.0,161.0,VEGT,12,7
976,GAX,-2.7639,9.98581,Gamba,Gamba,BLANK,Gabon,23424822,Africa/Libreville,0,Airports,BLANK,BLANK,2461.0,13.0,BLANK,1,1
977,GAY,24.7443,84.9493,Gaya Airport,Gaya,Bihar,India,12513586,Asia/Kolkata,0,Airports,BLANK,BLANK,7500.0,377.0,VEGY,7,4
978,GBD,38.352,-98.853,Great Bend Municipal Airport,Great Bend,Kansas,United States,12519973,America/Chicago,0,Airports,BLANK,BLANK,7999.0,1891.0,KGBD,5,3
979,GBE,-24.5558,25.9189,Sir Seretse Khama International Airport,Tlokweng,South-East,Botswana,12510841,Africa/Gaborone,0,Airports,BLANK,BLANK,9850.0,3299.0,FBSK,5,2
980,GBJ,15.8714,-61.2647,Marie Galante Airport,Grand-Bourg,Pointe-À-Pitre,Guadeloupe,12513278,America/Guadeloupe,0,Airports,BLANK,BLANK,4068.0,16.0,BLANK,1,1
981,GBT,36.8281,54.4392,Iran,Gorgan,Golestan,Iran,23424851,Asia/Tehran,0,Airports,BLANK,BLANK,,,BLANK,2,2
982,GCC,44.3465,-105.533,Gillette Campbell County Airport,Gillette,Wyoming,United States,12519902,America/Denver,0,Airports,BLANK,BLANK,7500.0,4363.0,KGCC,4,4
983,GCI,49.4341,-2.60003,Guernsey Airport,St. Peter Port,Channel Islands,United Kingdom,12513029,Europe/London,0,Airports,BLANK,BLANK,4800.0,336.0,EGJB,13,2
984,GCK,37.9267,-100.719,Garden City Regional Airport,Pierceville,Kansas,United States,12519861,America/Chicago,0,Airports,BLANK,BLANK,5999.0,2888.0,KGCK,4,3
985,GCM,19.2925,-81.3589,Owen Roberts International Airport,Georgetown,Grand Cayman,Cayman Islands,12512345,America/Cayman,0,Airports,BLANK,BLANK,7000.0,8.0,MWCR,22,13
986,GDE,5.93461,43.5318,Ididole,Gode/Iddidole,Bale,Ethiopia,1317305,Africa/Addis_Ababa,0,Airports,BLANK,BLANK,7909.0,968.0,BLANK,2,1
987,GDL,20.5347,-103.322,Don Miguel Hidalgo International Airport,Tlajomulco de Zúñiga,Jalisco,Mexico,12514863,America/Mexico_City,0,Airports,BLANK,BLANK,13120.0,5012.0,MMGL,43,29
988,GDN,54.3821,18.454,Rebiechowo Airport,Gdansk,Pomorskie,Poland,12515381,Europe/Warsaw,0,Airports,BLANK,http://www.airport.gdansk.pl,9186.0,489.0,EPGD,29,12
989,GDO,7.2111,-70.7583,Vare Maria Airport,Barinas,Apure,Venezuela,12522788,America/Caracas,0,Airports,BLANK,BLANK,3969.0,426.0,BLANK,1,1
990,GDQ,12.5167,37.45,Gondar Airport,Azezo,Debub Gonder,Ethiopia,12523110,Africa/Addis_Ababa,0,Airports,BLANK,BLANK,4626.0,6453.0,BLANK,3,1
991,GDT,21.4439,-71.1425,Grand Turk International Airport,Grand Turk,Gand Turk,Turks And Caicos Islands,12517840,America/Grand_Turk,0,Airports,BLANK,BLANK,6335.0,13.0,BLANK,4,3
992,GDX,59.8984,150.71,Magadan Northwest Airport,Magadan,Magadanskaya Oblast,Russia,12516379,Asia/Magadan,0,Airports,BLANK,BLANK,11325.0,574.0,BLANK,7,6
993,GEA,-22.2667,166.467,Magenta Airport,Noumea,Sud,New Caledonia,12523111,Pacific/Noumea,0,Airports,BLANK,BLANK,3609.0,10.0,BLANK,8,1
994,GEG,47.625,-117.538,Spokane International Airport,Spokane,Washington,United States,12521938,America/Los_Angeles,0,Airports,BLANK,BLANK,9000.0,2372.0,KGEG,15,20
995,GEL,-28.2808,-54.1683,Santo Angelo Airport,Santo Angelo,Rio Grande do Sul,Brazil,12511309,America/Sao_Paulo,0,Airports,BLANK,BLANK,3937.0,1063.0,BLANK,3,1
996,GEO,6.5003,-58.2542,Timehri International Airport,Hyde Park,Demerara-Mahaica,Guyana,12513350,America/Guyana,(920) 498-4800,Airports,BLANK,http://www.cjairport-gy.com/,7.0,95.0,SYCJ,4,6
997,GER,21.8375,-82.78,Nueva Gerona Airport,Nueva Gerona,Isla de la Juventud,Cuba,12512478,America/Havana,0,Airports,BLANK,BLANK,8202.0,72.0,BLANK,1,1
998,GES,6.1094,125.235,General Santos Airport,General Santos City,Soccsksargen,Philippines,12515617,Asia/Manila,0,Airports,BLANK,http://www.ato.gov.ph/Airports/Tambler.htm,10567.0,505.0,BLANK,2,3
999,GET,-28.7975,114.706,Geraldton Airport,Geraldton,Western Australia,Australia,12510673,Australia/Perth,0,Airports,BLANK,BLANK,6500.0,120.0,BLANK,4,1
1000,GEV,67.1345,20.8126,Lappland Airport,Koskullskulle,Norrbotten,Sweden,12517628,Europe/Stockholm,0,Airports,BLANK,BLANK,5610.0,979.0,KGEV,3,3
1001,GFF,-34.2454,146.068,Griffith Airport,Griffith,New South Wales,Australia,12510681,Australia/Sydney,0,Airports,BLANK,BLANK,4800.0,446.0,BLANK,2,1
1002,GFK,47.9494,-97.1762,Grand Forks Mark Andrews International Airport,Grand Forks,North Dakota,United States,12519951,America/Chicago,0,Airports,BLANK,BLANK,7349.0,844.0,KGFK,3,5
1003,GFN,-29.7562,153.031,Grafton Airport,Grafton,New South Wales,Australia,12510680,Australia/Sydney,0,Airports,BLANK,BLANK,5600.0,110.0,BLANK,1,1
1004,GGG,32.3874,-94.7194,Gregg County Airport,Longview,Texas,United States,12520015,America/Chicago,0,Airports,BLANK,BLANK,10000.0,365.0,KGGG,1,1
1005,GGT,23.5611,-75.8744,Exuma International Airport,George Town,Exuma,Bahamas,12510866,America/Nassau,0,Airports,BLANK,BLANK,5000.0,5.0,BLANK,6,6
1006,GHA,32.3828,3.7964,Noumerate Airport,Ghardaia,Ghardaia,Algeria,12510338,Africa/Algiers,0,Airports,BLANK,BLANK,10171.0,1512.0,BLANK,6,2
1007,GHB,25.2839,-76.3308,Governors Harbour Airport,Governor Harbour,Central Eleuthera,Bahamas,12510868,America/Nassau,0,Airports,BLANK,BLANK,7900.0,23.0,BLANK,2,5
1008,GHT,25.1325,10.1489,Ghat Airport,Ghat,Awbari,Libya,12514652,Africa/Tripoli,0,Airports,BLANK,BLANK,5500.0,2175.0,BLANK,1,2
1009,GIB,36.1522,-5.3472,Gibraltar Airport,Gibraltar,BLANK,Gibraltar,12513027,Europe/Gibraltar,0,Airports,BLANK,BLANK,6004.0,15.0,BLANK,3,4
1010,GIC,-9.2622,142.214,Boigu Island Airport,Kubin Village,Queensland,Australia,12510611,Australia/Brisbane,0,Airports,BLANK,BLANK,,,BLANK,1,1
1011,GIG,-22.8094,-43.25,Rio de Janeiro-Antonio Carlos Jobim Internationa,Rio de Janeiro,Rio de Janeiro,Brazil,12511292,America/Sao_Paulo,+55(21)3398-5050,Airports,BLANK,BLANK,13123.0,30.0,SBGL,32,25
1012,GIL,35.9192,74.3358,Gilgit Airport,Gilgit,Northern Areas,Pakistan,12515235,Asia/Karachi,0,Airports,BLANK,BLANK,5400.0,4770.0,BLANK,1,1
1013,GIS,-38.66,177.978,Gisborne Airport,Gisborne,Gisborne,New Zealand,12515154,Pacific/Auckland,0,Airports,BLANK,BLANK,4300.0,15.0,NZGS,2,1
1014,GIZ,16.9069,42.5819,Gizan Airport,Jizan,Jizan,Saudi Arabia,12517335,Asia/Riyadh,0,Airports,BLANK,BLANK,10007.0,20.0,BLANK,8,2
1015,GJA,16.4591,-85.9034,Guanaja Airport,Guanaja,Islas de la Bahía,Honduras,12513359,America/Tegucigalpa,0,Airports,BLANK,BLANK,3600.0,36.0,BLANK,1,2
1016,GJL,36.7942,5.8769,Taher Airport,Jijel,Jijel,Algeria,12510349,Africa/Algiers,0,Airports,BLANK,BLANK,4593.0,33.0,BLANK,1,1
1017,GJT,39.1217,-108.529,Walker Field Airport,Grand Junction,Colorado,United States,12522315,America/Denver,0,Airports,BLANK,BLANK,10501.0,4858.0,KGJT,7,11
1018,GKA,-6.0828,145.396,Goroka Airport,Goroka,Eastern Highlands,Papua New Guinea,12515466,Pacific/Port_Moresby,0,Airports,BLANK,BLANK,5400.0,5208.0,BLANK,4,1
1019,GLA,55.8646,-4.43234,Glasgow International Airport,Paisley,Scotland,United Kingdom,22482705,Europe/London,0,Airports,BLANK,http://www.glasgowairport.com/,7625.0,26.0,EGPF,67,44
1020,GLF,8.6525,-83.1828,Golfito Airport,Palmar Sur,Puntarenas,Costa Rica,12512432,America/Costa_Rica,0,Airports,BLANK,BLANK,4593.0,49.0,BLANK,1,1
1021,GLH,33.4819,-90.9903,Mid Delta Regional Airport,Greenville,Mississippi,United States,12520935,America/Chicago,0,Airports,BLANK,BLANK,7019.0,131.0,KGLH,1,3
1022,GLK,6.7786,47.4528,Galcaio Airport,Gaalkacyo,Mudug,Somalia,12517529,Africa/Mogadishu,0,Airports,BLANK,BLANK,9660.0,975.0,BLANK,2,1
1023,GLN,28.9839,-10.0603,Guelmim,Goulimime,Guelmim,Morocco,1535570,Africa/Casablanca,0,Airports,BLANK,BLANK,9840.0,984.0,BLANK,2,1
1024,GLO,51.8925,-2.1633,Gloucestershire Airport,Cheltenham,England,United Kingdom,12518156,Europe/London,0,Other Airport,BLANK,BLANK,4052.0,95.0,EGBJ,2,1
1025,GLT,-23.87,151.226,Gladstone Airport,Gladstone,Queensland,Australia,12510675,Australia/Brisbane,0,Airports,BLANK,BLANK,5360.0,64.0,BLANK,2,1
1026,GLV,64.5433,-163.033,Golovin,Golovin,Alaska,United States,2411932,America/Anchorage,0,Airports,BLANK,BLANK,2200.0,25.0,BLANK,3,3
1027,GMA,3.2347,19.7719,Gemena Airport,Gemena,Democratic Republic of,Congo,12511955,Africa/Kinshasa,0,Airports,BLANK,BLANK,6562.0,1378.0,BLANK,2,2
1028,GMB,13.4454,-15.3114,BLANK,Gambela,Ilubabor,Ethiopia,1316101,Africa/Addis_Ababa,0,Airports,BLANK,BLANK,4300.0,1768.0,BLANK,2,1
1029,GMP,37.5563,126.793,Gimpo International Airport,Seoul,Seoul,South Korea,23388324,Asia/Seoul,0,Airports,BLANK,BLANK,,,RKSS,10,9
1030,GMR,-23.0831,-134.887,Gambier Is,Gambier Is,Windward Islands,French Polynesia,22504021,Pacific/Tahiti,0,Airports,BLANK,BLANK,6560.0,7.0,BLANK,1,1
1031,GMZ,28.0252,-17.2148,La Gomera Airport,Alajeró,Canary Islands,Spain,24554860,Atlantic/Canary,+34 922 87 30 00,Airports,BLANK,BLANK,,,BLANK,2,1
1032,GNB,45.3614,5.33214,St Geoirs Airport,Sillans,Rhone-Alpes,France,12512972,Europe/Paris,0,Airports,BLANK,BLANK,10007.0,1302.0,KGNB,7,3
1033,GND,12.0056,-61.7867,Point Salines International Airport,Grenada,Saint George,Grenada,12513028,America/Grenada,0,Airports,BLANK,BLANK,5500.0,30.0,TGPY,13,9
1034,GNU,59.1218,-161.588,Alaska,Goodnews Bay,Alaska,United States,2347560,America/Nome,0,Airports,BLANK,BLANK,2500.0,15.0,BLANK,1,2
1035,GNV,29.6861,-82.277,Gainesville Regional Airport,Gainesville,Florida,United States,12519850,America/New_York,0,Airports,BLANK,BLANK,7503.0,152.0,KGNV,3,8
1036,GOA,44.4119,8.84633,Genoa Cristoforo Colombo Airport,Genoa,Liguria,Italy,12513821,Europe/Rome,0,Airports,BLANK,http://www.aeroportodigenova.com/home/index.php,9925.0,10.0,LIMJ,16,22
1037,GOH,64.1922,-51.6825,Godthaab Airport,Nuuk,Vestgronland,Greenland,12513030,America/Godthab,0,Airports,BLANK,BLANK,3100.0,283.0,BGGH,8,3
1038,GOI,15.3818,73.8265,Dabolim Airport,Vasco Da Gama,Goa,India,12513587,Asia/Kolkata,0,Airports,BLANK,BLANK,7850.0,157.0,BLANK,13,10
1039,GOJ,56.2153,43.783,Strigino Airport,Dzerzinsk,Nizhegorodskaya Oblast,Russia,12516946,Europe/Moscow,0,Airports,BLANK,BLANK,,,BLANK,10,10
1040,GOM,-1.6661,29.2344,Goma International Airport,Goma,Democratic Republic of,Congo,12511956,Africa/Lubumbashi,0,Airports,BLANK,BLANK,9843.0,5089.0,BLANK,2,4
1041,GOP,22.5552,88.3685,Gorakhpur,Gorakhpur,Bihar,India,29160405,Asia/Kolkata,0,Airports,BLANK,BLANK,9000.0,259.0,KGOP,1,1
1042,GOQ,36.8135,95.3498,Golmud Airport,Golmud,Qinghai,China,12512057,Asia/Urumqi,0,Airports,BLANK,BLANK,,,BLANK,1,1
1043,GOT,57.6693,12.2957,Gothenburg Airport,Härryda,Vastra Gotaland,Sweden,12517657,Europe/Stockholm,+4631941000,Airports,BLANK,http://www.landvetter.lfv.se,10827.0,506.0,ESGG,46,43
1044,GOU,9.3361,13.3756,Garoua Airport,Garoua,Nord,Cameroon,12512350,Africa/Douala,0,Airports,BLANK,BLANK,11155.0,794.0,BLANK,4,2
1045,GOV,-12.2747,136.826,Gove Aerodrome,Gove,Northern Territory,Australia,12510679,Australia/Darwin,0,Airports,BLANK,BLANK,6750.0,172.0,KGOV,3,2
1046,GPA,38.1519,21.4272,Araxos Airport,Lakkopetra,Dytiki Ellada,Greece,12513285,Europe/Athens,0,Airports,BLANK,BLANK,,,LGRX,9,2
1047,GPI,2.5806,-77.9083,Guapi Airport,Guapí,Cauca,Colombia,12512379,America/Bogota,0,Airports,BLANK,BLANK,4330.0,164.0,KGPI,2,2
1048,GPS,-0.45,-90.2625,Seymour Airport,Puerto Ayora,Galapagos,Ecuador,12512651,Pacific/Galapagos,0,Other Airport,BLANK,BLANK,7874.0,52.0,BLANK,2,2
1049,GPT,30.4133,-89.072,Gulfport Biloxi Regional Airport,Gulfport,Mississippi,United States,12520037,America/Chicago,0,Airports,BLANK,BLANK,9002.0,28.0,KGPT,9,11
1050,GRB,44.4923,-88.1274,Austin Straubel International Airport,Green Bay,Wisconsin,United States,12518709,America/Chicago,0,Airports,BLANK,http://www.co.brown.wi.us/airport/,7699.0,695.0,KGRB,12,16
1051,GRJ,-34.005,22.3792,P W Botha Airport,George,Western Cape,South Africa,12517456,Africa/Johannesburg,0,Airports,BLANK,BLANK,6562.0,649.0,FAGG,4,2
1052,GRK,31.0615,-97.8206,Killeen-Fort Hood Regional Airport,Killeen,Texas,United States,12521608,America/Chicago,0,Military Airport,BLANK,BLANK,,,KGRK,3,4
1053,GRO,41.8992,2.7646,Gerona Airport,Vilobí d'Onyar,Catalonia,Spain,23268768,Europe/Madrid,0,Airports,BLANK,BLANK,7874.0,469.0,LEGE,63,6
1054,GRQ,53.1273,6.58249,Groningen Eelde,Eelde,Drenthe,Netherlands,12515086,Europe/Amsterdam,0,Airports,BLANK,BLANK,5906.0,17.0,EHGG,1,1
1055,GRR,42.8841,-85.5307,Gerald R. Ford International Airport,Grand Rapids,Michigan,United States,12520445,America/New_York,0,Airports,BLANK,BLANK,10000.0,794.0,KGRR,21,26
1056,GRU,-23.435,-46.4728,Governador Andre Franco Montoro International Ai,Guarulhos,Sao Paulo,Brazil,12511170,America/Sao_Paulo,0,Airports,BLANK,BLANK,12140.0,2459.0,SBGR,63,35
1057,GRV,43.3964,45.6868,Groznyy Airport,Groznyy,Chechnya,Russia,12516015,Europe/Volgograd,0,Airports,BLANK,BLANK,,,BLANK,1,2
1058,GRW,39.0936,-28.0297,Graciosa Airport,Graciosa Island,Azores,Portugal,12515444,Atlantic/Azores,0,Airports,BLANK,BLANK,3937.0,86.0,BLANK,1,1
1059,GRX,37.1876,-3.77498,Granada Airport,Chauchina,Andalucia,Spain,12517547,Europe/Madrid,0,Airports,BLANK,BLANK,9514.0,1860.0,BLANK,16,12
1060,GRY,66.5439,-18.0117,Grimsey Airport,Akureyri,Akureyri,Iceland,12513443,Atlantic/Reykjavik,0,Airports,BLANK,BLANK,2559.0,66.0,BLANK,1,1
1061,GRZ,46.9902,15.4389,Graz Airport,Feldkirchen,Styria,Austria,22014356,Europe/Vienna,+43(0)31629020,Airports,BLANK,http://www.flughafen-graz.at,9055.0,1115.0,LOWG,29,18
1062,GSE,57.7774,11.8648,Save Airport,Kyrkobyn,Vastra Gotaland,Sweden,12517675,Europe/Stockholm,0,Airports,BLANK,http://www.goteborgcityairport.se/,6316.0,66.0,ESGP,14,3
1063,GSM,36.0347,14.3106,BLANK,Gheshm,BLANK,Iran,23424851,Asia/Tehran,0,Airports,BLANK,BLANK,,,BLANK,3,2
1064,GSO,36.1038,-79.9427,Triad International Airport,Greensboro,North Carolina,United States,12522200,America/New_York,0,Airports,BLANK,BLANK,10000.0,926.0,KGSO,24,26
1065,GSP,34.8907,-82.2167,Greenville Spartanburg International Airport,Greer,South Carolina,United States,12520010,America/New_York,0,Airports,BLANK,BLANK,7600.0,972.0,KGSP,25,25
1066,GST,58.4246,-135.707,Gustavus Airport,Gustavus,Alaska,United States,12520042,America/Juneau,0,Airports,BLANK,BLANK,6800.0,36.0,PAGS,1,2
1067,GSY,53.4533,-0.2,Binbrook Airport,Market Rasen,England,United Kingdom,12518039,Europe/London,0,Airports,BLANK,BLANK,7500.0,374.0,BLANK,1,1
1068,GTA,-8.72906,162.855,Solomon Islands,Gatokae,BLANK,Solomon Islands,23424766,Pacific/Noumea,0,Airports,BLANK,BLANK,,,BLANK,2,1
1069,GTE,-13.9743,136.462,Groote Eylandt Airport,Darwin,Northern Territory,Australia,12510682,Australia/Darwin,0,Airports,BLANK,BLANK,6240.0,52.0,KGTE,3,2
1070,GTF,47.482,-111.356,Great Falls International Airport,Great Falls,Montana,United States,12519974,America/Denver,0,Airports,BLANK,BLANK,10502.0,3674.0,KGTF,10,10
1071,GTO,0.6339,122.846,Jalaluddin Airport,Gorontalo,Sulawesi Utara,Indonesia,12513474,Asia/Makassar,0,Airports,BLANK,BLANK,5413.0,60.0,BLANK,1,2
1072,GTR,33.4516,-88.5876,Golden Triangle Regional Airport,Columbus,Mississippi,United States,12519926,America/Chicago,0,Airports,BLANK,BLANK,6497.0,264.0,KGTR,1,2
1073,GTS,-31.875,136.081,Australia,Granites,BLANK,Australia,23424748,Australia/Adelaide,0,Airports,BLANK,BLANK,3615.0,1106.0,BLANK,1,1
1074,GUA,14.5819,-90.5275,La Aurora Airport,Guatemala City,Guatemala,Guatemala,12513336,America/Guatemala,0,Airports,BLANK,BLANK,9793.0,4952.0,MGGT,21,25
1075,GUC,38.5356,-106.941,Gunnison County Airport,Gunnison,Colorado,United States,12520039,America/Denver,0,Airports,BLANK,BLANK,7198.0,7668.0,KGUC,5,4
1076,GUM,13.4833,144.796,Antonio B Won Pat International Airport,Hagåtña,Guam,United States,12523115,Pacific/Guam,0,Airports,BLANK,BLANK,,,PGUM,22,10
1077,GUR,-10.3108,150.339,Gurney Airport,Alotau,Milne Bay,Papua New Guinea,12515467,Pacific/Port_Moresby,0,Airports,BLANK,BLANK,5200.0,65.0,BLANK,3,2
1078,GUW,47.1133,51.8457,Guryev Airport,Atyrau,Atyrau,Kazakhstan,12514338,Asia/Aqtobe,0,Airports,BLANK,BLANK,,,BLANK,8,6
1079,GVA,46.2329,6.10682,Geneva Airport,Geneva,Canton of Geneva,Switzerland,23365569,Europe/Zurich,+41 22 717 71 11,Airports,BLANK,http://www.gva.ch,12796.0,1411.0,LSGG,122,71
1080,GVR,-18.8958,-41.9856,Governador Valadares Airport,Governador Valadares,Minas Gerais,Brazil,12511160,America/Sao_Paulo,0,Airports,BLANK,BLANK,4593.0,561.0,BLANK,2,1
1081,GWD,25.2306,62.3389,Gwadar Airport,Gawadar,Balochistan,Pakistan,12515236,Asia/Karachi,0,Airports,BLANK,BLANK,5000.0,96.0,BLANK,4,1
1082,GWL,26.2843,78.2288,Gwalior Airport,Gwalior,Madhya Pradesh,India,12513589,Asia/Kolkata,0,Airports,BLANK,BLANK,9000.0,617.0,BLANK,3,2
1083,GWT,54.9139,8.33126,Westerland Airport,Westerland,Schleswig-Holstein,Germany,22294483,Europe/Berlin,0049 4651 920612,Airports,BLANK,http://www.flughafen-sylt.de/,6968.0,51.0,BLANK,8,4
1084,GWY,53.3016,-8.94049,Carnmore Airport,Carnmore,BLANK,Ireland,12512716,Europe/Dublin,0,Airports,BLANK,BLANK,1870.0,90.0,EICM,6,1
1085,GXF,15.9625,48.7877,Sayun Airport,Seiyun,Hadramawt,Yemen,24554865,Asia/Aden,0,Airports,BLANK,BLANK,3850.0,2100.0,BLANK,4,3
1086,GXG,-7.7547,15.2919,Negage Airport,Negage,Uige,Angola,12510448,Africa/Luanda,0,Airports,BLANK,BLANK,7874.0,4105.0,BLANK,2,1
1087,GYA,-10.8276,-65.3993,Guayaramerin Airport,Guayaramerín,El Beni,Bolivia,12523574,America/La_Paz,0,Airports,BLANK,BLANK,5906.0,427.0,BLANK,1,1
1088,GYD,40.3781,49.8028,Azerbaijan,Baku,Baki,Azerbaijan,23424741,Asia/Baku,0,Airports,BLANK,BLANK,,,UBBB,58,35
1089,GYE,-2.1533,-79.8833,Simon Bolivar International Airport,Guayaquil,Guayas,Ecuador,12512652,America/Guayaquil,0,Airports,BLANK,BLANK,8005.0,15.0,SEGU,18,21
1090,GYL,-16.6364,128.449,Argyle Airport,Argyle,Western Australia,Australia,12510589,Australia/Perth,0,Airports,BLANK,BLANK,7540.0,522.0,KGYL,3,2
1091,GYM,27.9689,-110.924,General Jose Maria Yanez in Airport,Guaymas,Sonora,Mexico,12514881,America/Hermosillo,0,Airports,BLANK,BLANK,7710.0,88.0,MMGM,1,1
1092,GYN,-16.6294,-49.2261,Santa Genoveva Airport,Goiania,Goias,Brazil,12511301,America/Sao_Paulo,0,Airports,BLANK,BLANK,7221.0,2448.0,BLANK,7,4
1093,GZO,-8.0749,156.832,Nusatupe Airport,Gizo,Western,Solomon Islands,12511008,Pacific/Noumea,0,Airports,BLANK,BLANK,3202.0,13.0,BLANK,6,1
